name,type,episodes,members,score_members,rating,genre,dates,Description,Image-SRC,english_name,url
Fullmetal Alchemist: Brotherhood,TV,64.0,2695066.0,1639865.0,9.15,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Military', 'Shounen']",        Apr 2009 - Jul 2010,"['After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse\'s body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse\'s soul in the physical realm by binding it to a hulking suit of armor.\n\r\nThe brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher\'s Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.\n\r\nAs Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys\' journey embroils them in a growing conspiracy that threatens the fate of the world.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1223/96541.jpg,,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Gintama°,TV,51.0,489442.0,173224.0,9.09,"['Action', 'Comedy', 'Sci-Fi', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Apr 2015 - Mar 2016,"[""Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?\n\r\nMeanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.\n\r\nFilled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/3/72078.jpg,Gintama Season 4,https://myanimelist.net/anime/28977/Gintama°
Shingeki no Kyojin Season 3 Part 2,TV,10.0,1602372.0,1108307.0,9.09,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'SuperPower', 'Shounen']",        Apr 2019 - Jul 2019,"['Seeking to restore humanity\'s diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.\n\r\nReturning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy\'s absence, discovers distressing signs of a potential scheme against them. \n\nShingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family\'s basement.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1517/100633.jpg,Attack on Titan Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
Steins;Gate,TV,24.0,2104657.0,1122368.0,9.09,"['Drama', 'Sci-Fi', 'Suspense', 'Psychological']",        Apr 2011 - Sep 2011,"['The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel.\n\r\nThough miraculous in itself, the phenomenon doesn\'t provide anything concrete in Okabe\'s search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history.\n\r\nAdapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/5/73199.jpg,,https://myanimelist.net/anime/9253/Steins_Gate
Fruits Basket: The Final,TV,13.0,277442.0,118724.0,9.06,"['Comedy', 'Drama', 'Romance', 'SliceofLife', 'Supernatural', 'Shoujo']",        Apr 2021 - Jun 2021,"['Hundreds of years ago, the Chinese Zodiac spirits and their god swore to stay together eternally. United by this promise, the possessed members of the Souma family shall always return to each other under any circumstances. Yet, when these bonds shackle them from freedom, it becomes an undesirable burden—a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment.\n\r\nTooru Honda, who has grown attached to the Soumas, is determined to break the chains that bind them. Her companionship with the family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue her endeavors. With time slowly withering away, Tooru contends with an uncertain future in hopes of reaching the tranquility that may lie beyond all this commotion.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1085/114792.jpg,,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
Gintama',TV,51.0,432195.0,181135.0,9.06,"['Action', 'Comedy', 'Sci-Fi', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Apr 2011 - Mar 2012,"[""After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.\n\r\nBewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.\n\r\nWith even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/4/50361.jpg,Gintama Season 2,https://myanimelist.net/anime/9969/Gintama
Hunter x Hunter (2011),TV,148.0,2171589.0,1275804.0,9.06,"['Action', 'Adventure', 'Fantasy', 'SuperPower', 'Shounen']",        Oct 2011 - Sep 2014,"['Hunter x Hunter is set in a world where Hunters exist to perform all manner of dangerous tasks like capturing criminals and bravely searching for lost treasures in uncharted territories. Twelve-year-old Gon Freecss is determined to become the best Hunter possible in hopes of finding his father, who was a Hunter himself and had long ago abandoned his young son. However, Gon soon realizes the path to achieving his goals is far more challenging than he could have ever imagined.\n\r\nAlong the way to becoming an official Hunter, Gon befriends the lively doctor-in-training Leorio, vengeful Kurapika, and rebellious ex-assassin Killua. To attain their own goals and desires, together the four of them take the Hunter Exam, notorious for its low success rate and high probability of death. Throughout their journey, Gon and his friends embark on an adventure that puts them through many hardships and struggles. They will meet a plethora of monsters, creatures, and characters—all while learning what being a Hunter truly means.\n\r\n[Written by MAL Rewrite]']",https://cdn.myanimelist.net/images/anime/1337/99013.jpg,Hunter x Hunter,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
Ginga Eiyuu Densetsu,OVA,110.0,264511.0,58857.0,9.04,"['Drama', 'Sci-Fi', 'Military', 'Space']",        Jan 1988 - Mar 1997,"[""The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli.\n\r\nWhile Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang—a strong supporter of democratic ideals—has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution.\n\r\nAs ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/13/13225.jpg,Legend of the Galactic Heroes,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
Gintama': Enchousen,TV,13.0,263148.0,131919.0,9.04,"['Action', 'Comedy', 'Sci-Fi', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Oct 2012 - Mar 2013,"[""While Gintoki Sakata was away, the Yorozuya found themselves a new leader: Kintoki, Gintoki's golden-haired doppelganger. In order to regain his former position, Gintoki will need the help of those around him, a troubling feat when no one can remember him! Between Kintoki and Gintoki, who will claim the throne as the main character?\n\r\nIn addition, Yorozuya make a trip back down to red-light district of Yoshiwara to aid an elderly courtesan in her search for her long-lost lover. Although the district is no longer in chains beneath the earth's surface, the trio soon learn of the tragic backstories of Yoshiwara's inhabitants that still haunt them. With flashback after flashback, this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls.\n\nGintama': Enchousen includes moments of action-packed intensity along with their usual lighthearted, slapstick humor for Gintoki and his friends.\n\r\n[Written by MAL Rewrite]""]",https://cdn.myanimelist.net/images/anime/6/75172.jpg,Gintama: Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen
Gintama: The Final,Movie,1.0,80065.0,31826.0,9.01,"['Action', 'Comedy', 'Drama', 'Sci-Fi', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Jan 2021 - Jan 2021,['New Gintama movie.'],https://cdn.myanimelist.net/images/anime/1245/116760.jpg,,https://myanimelist.net/anime/39486/Gintama__The_Final
